#,Company,Symbol,Weight,Price,Change
387,Masco Corporation,MAS,0.049259,   38.40,0.59 (1.55%)
388,Molson Coors Brewing Company Class B,TAP,0.049160,   61.65,-0.28 (-0.45%)
389,AES Corporation,AES,0.048896,   17.32,-0.21 (-1.20%)
390,J.M. Smucker Company,SJM,0.048572,   101.33,-0.09 (-0.09%)
391,Akamai Technologies Inc.,AKAM,0.048571,   70.08,0.22 (0.31%)
392,Mosaic Company,MOS,0.048558,   32.90,0.60 (1.86%)
393,Conagra Brands Inc.,CAG,0.048364,   23.43,0.05 (0.21%)
394,Kansas City Southern,KSU,0.048157,   112.30,0.95 (0.85%)
395,United Rentals Inc.,URI,0.048025,   136.86,0.02 (0.01%)
396,Regency Centers Corporation,REG,0.047391,   65.79,-0.09 (-0.14%)
397,Noble Energy Inc.,NBL,0.047087,   22.95,-0.22 (-0.93%)
398,Raymond James Financial Inc.,RJF,0.046576,   84.38,0.82 (0.98%)
399,National Oilwell Varco Inc.,NOV,0.045874,   28.54,0.06 (0.21%)
400,Kohl's Corporation,KSS,0.045720,   66.20,1.83 (2.84%)
401,Cboe Global Markets Inc,CBOE,0.045642,   97.38,0.78 (0.81%)
402,CarMax Inc.,KMX,0.045505,   60.36,-0.18 (-0.30%)
403,Cabot Oil & Gas Corporation,COG,0.045389,   25.03,0.77 (3.15%)
404,Duke Realty Corporation,DRE,0.045299,   30.09,0.00 (0.00%)
405,Alliant Energy Corp,LNT,0.045256,   45.46,-0.22 (-0.48%)
406,F5 Networks Inc.,FFIV,0.044378,   172.00,-0.09 (-0.05%)
407,Lamb Weston Holdings Inc.,LW,0.044366,   70.09,-0.41 (-0.58%)
408,Pinnacle West Capital Corporation,PNW,0.043986,   93.18,-0.04 (-0.04%)
409,Jack Henry & Associates Inc.,JKHY,0.043584,   132.60,0.04 (0.03%)
410,Viacom Inc. Class B,VIAB,0.043452,   29.02,-0.17 (-0.58%)
411,PerkinElmer Inc.,PKI,0.043434,   95.02,1.44 (1.54%)
412,Nasdaq Inc.,NDAQ,0.043426,   90.17,1.13 (1.27%)
413,CF Industries Holdings Inc.,CF,0.043404,   43.64,-0.43 (-0.98%)
414,Iron Mountain Inc.,IRM,0.043165,   34.81,-0.78 (-2.18%)
415,Tapestry Inc.,TPR,0.043026,   36.11,0.65 (1.83%)
416,Tiffany & Co.,TIF,0.042885,   93.86,1.16 (1.25%)
417,Hasbro Inc.,HAS,0.042622,   86.59,0.59 (0.69%)
418,Garmin Ltd.,GRMN,0.042597,   84.39,1.32 (1.59%)
419,WestRock Company,WRK,0.042489,   39.80,0.53 (1.35%)
420,Franklin Resources Inc.,BEN,0.042483,   32.81,0.08 (0.24%)
421,Zions Bancorporation N.A.,ZION,0.042164,   51.55,0.38 (0.74%)
422,Take-Two Interactive Software Inc.,TTWO,0.041993,   86.31,-0.76 (-0.87%)
423,Discovery Inc. Class C,DISCK,0.041986,   27.64,0.13 (0.47%)
424,Federal Realty Investment Trust,FRT,0.041707,   134.21,-0.95 (-0.70%)
425,TechnipFMC Plc,FTI,0.041608,   22.95,0.24 (1.03%)
426,NiSource Inc,NI,0.041049,   26.41,-0.23 (-0.86%)
427,Albemarle Corporation,ALB,0.041011,   91.16,1.98 (2.22%)
428,Juniper Networks Inc.,JNPR,0.040674,   27.62,0.01 (0.02%)
429,J.B. Hunt Transport Services Inc.,JBHT,0.039908,   108.96,-0.15 (-0.14%)
430,Huntington Ingalls Industries Inc.,HII,0.039799,   214.91,-2.20 (-1.01%)
431,Nielsen Holdings Plc,NLSN,0.039462,   25.89,-0.21 (-0.80%)
432,Whirlpool Corporation,WHR,0.039363,   146.44,0.86 (0.59%)
433,Avery Dennison Corporation,AVY,0.039323,   108.00,1.06 (0.99%)
434,DENTSPLY SIRONA Inc.,XRAY,0.039201,   41.76,0.13 (0.30%)
435,Packaging Corporation of America,PKG,0.039118,   99.76,1.47 (1.50%)
436,Henry Schein Inc.,HSIC,0.038829,   60.37,0.43 (0.72%)
437,Everest Re Group Ltd.,RE,0.038810,   224.63,0.72 (0.32%)
438,Snap-on Incorporated,SNA,0.038653,   161.85,0.51 (0.32%)
439,Interpublic Group of Companies Inc.,IPG,0.038603,   23.79,0.04 (0.17%)
440,PVH Corp.,PVH,0.038255,   117.08,-0.55 (-0.46%)
441,HollyFrontier Corporation,HFC,0.038168,   54.99,-0.53 (-0.95%)
442,Mohawk Industries Inc.,MHK,0.037603,   141.96,1.46 (1.04%)
443,Jacobs Engineering Group Inc.,JEC,0.037486,   74.85,0.40 (0.54%)
444,BorgWarner Inc.,BWA,0.036943,   41.91,0.23 (0.55%)
445,LKQ Corporation,LKQ,0.036882,   27.56,0.23 (0.82%)
446,Torchmark Corporation,TMK,0.036483,   83.07,0.13 (0.16%)
447,Allegion PLC,ALLE,0.036145,   89.02,-0.68 (-0.76%)
448,Qorvo Inc.,QRVO,0.035836,   68.81,1.01 (1.49%)
449,Robert Half International Inc.,RHI,0.035384,   68.26,-0.01 (-0.01%)
450,Alliance Data Systems Corporation,ADS,0.034995,   176.41,2.35 (1.35%)
451,Brown-Forman Corporation Class B,BF.B,0.034760,   48.84,0.00 (0.00%)
452,Unum Group,UNM,0.034489,   37.81,0.54 (1.45%)
